16:54:50 [main] INFO  com.revature.daos.UserPostgres - select * from users where LOWER(username)  = 'admin'
16:54:50 [main] INFO  com.revature.controller.UserController - User [id=109, username=admin, password=admin, role_id=3, status=1]
16:54:58 [main] INFO  com.revature.daos.UserPostgres - select * from users where id = 20
17:28:33 [main] INFO  com.revature.daos.PaymentConnDAO - update payment_connection set active = 0 where product_id = 111 and  user_id = 4 and active = 1
17:28:33 [main] INFO  com.revature.daos.OfferPostgres - delete from offers where product_id = 111
17:28:33 [main] INFO  com.revature.daos.ProductPostgres - update products set  user_id = null  where id = 111
17:34:55 [main] INFO  com.revature.daos.UserPostgres - select * from users where LOWER(username)  = 'chumbie1'
17:34:55 [main] INFO  com.revature.controller.UserController - User [id=5, username=chumbie1, password=fG8xnyuvqq, role_id=1, status=1]
17:34:58 [main] INFO  com.revature.daos.UserPostgres - select * from users where id = 26
17:34:58 [main] INFO  com.revature.daos.PaymentConnDAO - select * from payment_connection where product_id = 18 and user_id = 26 and active = 1
17:34:58 [main] INFO  com.revature.daos.PaymentPostgres - select * from payment where payment_connection_id = 12 order by created_at asc
17:34:59 [main] INFO  com.revature.daos.UserPostgres - select * from users where id = 67
17:34:59 [main] INFO  com.revature.daos.PaymentConnDAO - select * from payment_connection where product_id = 30 and user_id = 67 and active = 1
17:34:59 [main] INFO  com.revature.daos.PaymentPostgres - select * from payment where payment_connection_id = 11 order by created_at asc
17:35:04 [main] INFO  com.revature.daos.ProductPostgres - select * from products where id = 111 
17:35:10 [main] INFO  com.revature.daos.OfferPostgres - delete from offers where product_id = 111
17:35:10 [main] INFO  com.revature.daos.ProductPostgres - delete from products where id = 111
17:35:58 [main] INFO  com.revature.daos.ProductPostgres - select * from products where id = 111 
17:37:29 [main] INFO  com.revature.daos.UserPostgres - select * from users where LOWER(username)  = 'chumbie1'
17:37:29 [main] INFO  com.revature.controller.UserController - User [id=5, username=chumbie1, password=fG8xnyuvqq, role_id=1, status=1]
17:37:52 [main] INFO  com.revature.daos.ProductPostgres - select * from products where lower(product_name) like 'cars'
17:37:52 [main] INFO  com.revature.daos.ProductPostgres - insert into products (product_name, price) values ('cars',100.0) returning id
17:37:55 [main] INFO  com.revature.daos.UserPostgres - select * from users where id = 26
